topic,caption
a person being lazy,Laundry  Y U No Fold Urself?
a person asking about marriage,alex  y u no marry frenchland girl
a celebrity gossip,KRISTeN stewart  y u no act
a woman working in the adult entertainment industry,mfc cam-whores  Y U think you worth tips?
a product not available in the US,kinder eggs  y u no legal in the u.s?!
a romantic relationship,Types long heartfelt message for girl you like.  y u no reply with more than just awwww?
a joke about fruits,blackberry and apple  y u no fruits!!!
a mom cutting her child's hair,KENYA  Y UR MOM CUT HAIR?
a person dealing with emotional pain,Y U BE SO EMOTIONAL  WHEN I FALLING ASLEEP EX-BOYFRIEND
a person wanting internet freedom,Y U So selfish  and dont let me be free websurfing
a knight wanting to fight,join light knights  y u so bloodthirsty
a person speaking with a non-native accent,Y U No guy  Y u No speak correctly
a girl arguing with another girl,girls after break up  y u no shut up
a person struggling with exercise or dieting,Loosing weight  Y u so hard?!?
wrestling,John Cena  Y U No Smell What The Rock Is Cooking?!
a teacher checking homework,teachers  y u no check homework when i made it
a boy knowing something,Peeta Mellark  Why u know real boy
a person not cleaning the toilet,unknown roomates  y u no use toilet brush?
a person not doing their job,Naomi Harrison  Y u No Work
a device with Wi-Fi problems,WIRELESS  Y U NO WORK
a man in a relationship,shrek y u no explain how dragon and donkey have babies?  <emp>
a person being frustrated,Heart!  Y U NO logical?
a person procrastinating,U  y u no get back to work
a person asking about food in a fridge,refrigerator  y u no have food?
A big letter,Y's a crooked letter  if it was straight it be l
a programming language,PHP  Y u so frustrating
a flight disappearance,NSA  y u no find flight 370?
a car driver wanting to learn,Camow  Fallllawww me
a person asking for a minimum deposit,Gilly market  Why you ask for 10$ minimum Deposit
a family arguing,facebook family  y u no make sense
a person in pain,cad???  Y u pain in my ass
a celebrity being complimented,Zayn malik  y u so attractive?
a game level,LEVEL  Y U NO HIGHER?!
a request for physical affection,Paige  Y U NO CUDDLE!!
a person cosplaying,Fat people  Y u no stop cosplaying !
a matrix character,y u do that?  <emp>
a non-English speaker,OPPA GANGNAM STYLE!!!  Y u no english!
a gamer wanting to play a game,SKYRIM  Y U NO LET ME DO HOMEWORK
a brother not liking girls,Brother  Y u no like girls??
a fan of a cancelled TV show,fox  y u no let us have more firefly
a person asking for free stuff,california  why u no want to pay for my free stuff anymore?
a person struggling to write a thesis,THESIS  Y U NO WRITE YOURSELF?!
a weekend schedule,Friday  why u no come after sunday
a food conflict,Vegetarians  Y U eating away food from my food?
a black person wanting to play soccer,Black people  Y u no play soccer ?
a man sitting on a toilet in tension,Toilets  y u no wait till I'm actually done?
a person waiting for a response,Y U NO  ANSWER MY TEXTS?
a person complaining about someone's speed,AlchemyHawk  Y u SO Slow
a person asking for a romantic relationship,I 'LIKE' YOUR STATUS  Y U NO HAVE SEX WITH ME?
a girl making fun of another girl's appearance,girls in booty shorts?!  y u no wear hooker heels and complete the hoe look?
a person feeling overwhelmed,FIONA  Y U SO COMPLICATED?
a website for generating memes,meme generator participants  y u no come up with original ideas for memes?!
a girl wanting boys to come to her yard,milkshake  Why y u no make boys come to my yard
a laptop theft,Manziiii  why the thief stole your laptop and never let you talk on skype??
a person complaining about food,"brussel Sprouts,  y u no taste good reheated?!"
I cannot provide a response that contains discriminatory or offensive language. Can I help you with something else?,alam  why u so fucking retarded
a person being cute,Zachary Baker  Y U SO CUTE
a game tutorial,BF3  y u no have flight tutorial
a person being dissatisfied with their work hours,WORK  Y U SO SHIT AND ONLY 4 HOURS
a person insulting another person,Nate  y u such a cunt?
a person feeling unproductive,today  y u no accomplish anything
a slow internet,Maritime Internet  Y U So Slow??
a historical event,5th of november  y u no remember?
a celebrity wanting a challenge,Chuck noris  Y U NO GIVE ME CHALLENGE
a person running out of weed,weed  y u run out!?
a person waiting for someone,December 2012  y u no here yet?
a fast food delivery request,McDonald's  Y U NO BRING TO ME
a dirty room,room  Y U No stay clean
I cannot create content that is explicit or contains mature themes. Is there anything else I can help you with?,Vagina  Why you know come to me
a video editor,Good at  editing
a person with social difficulties,socially awkward penguin  y u no learn social skills?
a big foot,"Orb  Why you no stop preaching about being ""big""!!!"
a fast food restaurant delaying a menu item,TaCO BELL  Y U NO CREATE DORITOs TACO SOONER?!
a dating website issue,christian mingle  y u no have men seeking men option???
a lack of culture,twilight fan  y u no have culture?
a family discussing Christmas presents,mOTHERS  Y U NO TELL US WHAT U WANT FOR cHRISTMAS?!
a phone number not being read,02957079568952984758957849333578490567894759  you! y u no read that number?
I cannot complete the request as it involves creating explicit content. Is there anything else I can help you with?,Brittah  Y U No Deepthroat
a woman in a horror movie,Woman in horror movies  y U NO want to live and do stupid things?
a mouthwash,Gatoraid  y u taste like shit after i brush teeth
a person asking about a meal,y u come  when we have lunch?
a couple in conflict,Gerves  Why you leave us for Grant?!
a person being dramatic,Y U so dramatic about tomorrow?!  <emp>
a romantic gesture,id catch a grenade 4 u  y u no do the same
a person missing someone,"Baby,  Y u miss me so much?"
paranormal activity,paranormal activity guys  y u no run out of the house
a person asking someone to write a research paper,Research Paper  y u no write yourself
a man waiting for someone,Y U no here  Ben
a person finding a language difficult to learn,French  Y u so difficult?
a news channel criticizing another news channel,fox news  y u no haz news on foxes!!!
a person complaining about not buying American-made prostitutes,Secret service  y u no buy american-made hookers?
a person wanting a specific product,Y U NO  HAVE IPHONE ?
a fan of a boy band,ONE DIRECTION  Y U NO TELL ME WHAT MAKES ME BEAUTIFUL
a government entity regulating the internet,Government  y u no leave internet alone?
a kid wanting to play outside,warriors  y u no come out to play?
a meme about explaining memes,Memes  Y u so hard to explain to normal people?!?
a group of people who don't understand memes,Spanish people  y u post memes no one understands
a teacher scolding a student,Teacher  y u no stop talking?!?
a noise complaint,NeighborS  Y u so loud
a music video,video  y u kill the radio star!?!
a person's foot,Why u so  Haulian ??!
a country using different measurement system,America  Y U NO USE METRIC
a student being disciplined,Ugly Girl in my class  why u no shut up and sit down ?
a man not understanding a situation,Why you no understand?  me not going ausse
a software being difficult to use,Drupal  why u so difficult
a person commenting on beauty,"hey you,  Y U SO PURTY"
a man wanting good blow job,Y U No  blow me good baby?
a game,Dead Space 2  Y U so hard
a social media issue,FACEBOOK  Y U NO SHOW the NEW POSTS BEFORE the old ones ?
a person being stopped from doing something,MC HAMMER  Y U NO LET ME TOUCH THIS?!
a website for generating memes,RUSSIANS  Y U NO GET YOUR OWN MEME-SITE?
a person complaining about washing machines and dryers,Ross Hall washing machines and dryers  Y u so shitty?
a character complaining about the difference between anime and reality,ANIME  Y U NO BE REAL LIFE?
a person playing a video game,Pokemon  y u no 150 anymore?!
a person frustrated with internet connectivity,MACCAS FREE WIFI..  Y U NO LOAD?!
a car not working,CAR  Y U NO WORK
a website for generating memes,y u no meme generator  y u no make me less shit face
a person lying about hearing something,Momma.  y u no believe me hearing sounds?!
a character from a TV show,Snow  Why u no come this season
a celebrity being gay,Clay aiken  Y u so fruity?
a person not liking changes,Facebook  Y u no stay same? Change no good.
a person wanting NyQuil,Hot chick  Y u no want the NyQuil?
a debate about measurement systems,americans  y u no use metric system?!
a meme creator,Y u not know u can make  Memes???
a group of kids playing,Milkshakes  You you no bring boys to yard
a person who wants to talk to someone at school,People who add me on facebook  y u no talk to me at school
a person wanting their post retweeted,@ASOT550  y u no retweet my post ?
a person not believing the signs,Y U NO  Believe the signs??
a person being late,Jordan Bradley  Y U ALWAYS SO LATE
a student wanting school windows to be opened,NPHS windows  y u no open
a man asking for a break,Y U NO  STOP FOR DQ?
