topic,caption
a couple talking to each other,I'm not good at pressuring  I just lag a lot
a couple,Scored 3 times last Game  If you know what i mean
a professor,The way our theology professor looks at you  when he realizes his tie matches ur pants
a group of friends sitting together,dat face  when your friends farts really loud
a group of teenagers at the party,Oooo you brough i knife to party  is it because you cant fight ?
a couple,is she a diele  cause he is a diele?
a couple trying to smell some food,  Can you smell that?
a man looking in the camera and smiling,Playing with myself  IF you know what i mean
an old man wearing glasses,WHAT  the honest fuck
a man and a woman drinking coffee and smiling,THE EXPRESSION OF ACCOMPLISHMENT  WHEN YOU BREAK THE BED WHILE HAVING SEX
a group of women checking out a guy on a street,"check them babes in ""chadari""  oh i think they checking me out too.."
a mother telling of his child,lahcen !  i see what you did there
a couple talking to each other,that look you give her  When she tells you she'll do anything for a favor
