topic,caption
a slow internet,Maritime Internet <sep> Y U So Slow??
a historical event,5th of november <sep> y u no remember?
a matrix character,<emp> <sep> y u so high james coletta?
a celebrity wanting a challenge,Chuck noris <sep> Y U NO GIVE ME CHALLENGE
a creepy person,Wikipedia Guy <sep> y u so creepy?
a pirate,I pirate you... <sep> y u no work???
a compliment,Y U SO AWESOME <sep> peole!!!
a person running out of weed,weed <sep> y u run out!?
a girl being mean,Becca <sep> Y U SO MEAN!!!
a person waiting for someone,December 2012 <sep> y u no here yet?
a boy wanting to be boyish,Justin bieber <sep> Y U NO BOYISH
a person frustrated with someone else's behavior,u no no? <sep> y u no no?
a fast food delivery request,McDonald's <sep> Y U NO BRING TO ME
a dirty room,room <sep> Y U No stay clean
a person being funny,Oh hannah <sep> y u so funny
a person struggling to sleep,brain <sep> y u no sleep?
I cannot create content that is explicit or contains mature themes. Is there anything else I can help you with?,Vagina <sep> Why you know come to me
a video editor,Good at <sep> editing
a person asking to reduce debt,hutang makan <sep> y u no berkurang!!!
candy availability,america <sep> y u no have kinder eggs??
a concert ticket,Dear DMB Tickets <sep> Y U SO EXPENSIVE?!
a person with social difficulties,socially awkward penguin <sep> y u no learn social skills?
a big foot,"Orb <sep> Why you no stop preaching about being ""big""!!!"
a computer not working,ORIGIN <sep> Y U NO WORK???
a horror movie,scary movie <sep> y u no scary
a woman discussing abortion,snooki just got pregnant <sep> y u no legalize abortion?
a person being grumpy,"Caro, <sep> Y U grumpy?"
a fast food restaurant delaying a menu item,TaCO BELL <sep> Y U NO CREATE DORITOs TACO SOONER?!
a uterus,uterus <sep> y u so!?
a dating website issue,christian mingle <sep> y u no have men seeking men option???
a lack of culture,twilight fan <sep> y u no have culture?
a family discussing Christmas presents,mOTHERS <sep> Y U NO TELL US WHAT U WANT FOR cHRISTMAS?!
a phone number not being read,02957079568952984758957849333578490567894759 <sep> you! y u no read that number?
a person asking a friend to be friends,Y U NO BE MY FRIEND <sep> <emp>
a person wanting to cuddle naked,Y u no <sep> Wanna cuddle naked?
I cannot complete the request as it involves creating explicit content. Is there anything else I can help you with?,Brittah <sep> Y U No Deepthroat
Lord of the Rings,one does not simply <sep> use correct meme
a person having trouble with earphones,earphones <sep> y u no untangle
a woman in a horror movie,Woman in horror movies <sep> y U NO want to live and do stupid things?
a mouthwash,Gatoraid <sep> y u taste like shit after i brush teeth
a person fighting,Kang zigg's ultimate <sep> Why you hit no one ???
a person asking about a meal,y u come <sep> when we have lunch?
a couple in conflict,Gerves <sep> Why you leave us for Grant?!
a person being dramatic,Y U so dramatic about tomorrow?! <sep> <emp>
a romantic gesture,id catch a grenade 4 u <sep> y u no do the same
a person missing someone,"Baby, <sep> Y u miss me so much?"
paranormal activity,paranormal activity guys <sep> y u no run out of the house
a person asking someone to write a research paper,Research Paper <sep> y u no write yourself
a confused person,waaaaaaaaaaaat <sep> the fuck are you talking about???
a man waiting for someone,Y U no here <sep> Ben
a student with hair-related issues,Profesora entienda que el pelo no tiene que ver con el estudio <sep> Yo no estudio con el pelo
a plant being green,Dunkelgelb <sep> y u so green
a person finding a language difficult to learn,French <sep> Y u so difficult?
a news channel criticizing another news channel,fox news <sep> y u no haz news on foxes!!!
a girl laughing at someone's hiccups,GRACE <sep> Y U HICCOUGH SO FUNNY
a person complaining about not buying American-made prostitutes,Secret service <sep> y u no buy american-made hookers?
a person wanting a specific product,Y U NO <sep> HAVE IPHONE ?
a person wanting to sleep,MEme <sep> Y u no let me sleep
a fan of a boy band,ONE DIRECTION <sep> Y U NO TELL ME WHAT MAKES ME BEAUTIFUL
video streaming,video <sep> y u no available on mobile
a government entity regulating the internet,Government <sep> y u no leave internet alone?
a kid wanting to play outside,warriors <sep> y u no come out to play?
a big nose,korizma <sep> y u so long
a person waiting,11.11.11 <sep> y u take forever to get here
a meme about explaining memes,Memes <sep> Y u so hard to explain to normal people?!?
a person making fun of Robin,Robin <sep> Y u so??? Just y u so?
a person complaining about another country,God <sep> y u no like africa?
a group of people who don't understand memes,Spanish people <sep> y u post memes no one understands
a girl being upset,Y U HATIN <sep> <emp>
a teacher scolding a student,Teacher <sep> y u no stop talking?!?
a noise complaint,NeighborS <sep> Y u so loud
a music video,video <sep> y u kill the radio star!?!
a teenager wanting to drive a car,y u no <sep> have condoms?
a person's foot,Why u so <sep> Haulian ??!
a gay person,Y u so <sep> Much gay
a country using different measurement system,America <sep> Y U NO USE METRIC
a person sitting uncomfortably,L <sep> y u no sit properly
a student being disciplined,Ugly Girl in my class <sep> why u no shut up and sit down ?
a person complaining about Christmas decorations being put up too early,X q putas adornan el chante <sep> Si apenas es Noviembre ?
a man not understanding a situation,Why you no understand? <sep> me not going ausse
a software being difficult to use,Drupal <sep> why u so difficult
a musician,GUITAR? <sep> Y U SO AWESUM!
a person commenting on beauty,"hey you, <sep> Y U SO PURTY"
a person wanting to stay,Summer <sep> Y u no stay
a person asking why someone isn't doing something,"Jordan, y u no <sep> Make galaxy retro 10"
a Pokémon topic,MEWTWO <sep> Y U NO GO IN POKEBALL
a cool person,coolguy <sep> y u so kool!!!
a man wanting good blow job,Y U No <sep> blow me good baby?
a game,Dead Space 2 <sep> Y U so hard
a phone scam,Florida callers <sep> y u no have 50/100/50???
a teacher not letting a student do something,Que la maestra no me dejo dar el <sep> <emp>
a corrupt official,BISS PUDONG <sep> Y U So corrupt?
a person insulting someone,mikkel <sep> y u so stupid?
a social media issue,FACEBOOK <sep> Y U NO SHOW the NEW POSTS BEFORE the old ones ?
a god wanting to destroy mosquitoes,god <sep> why u no destroys mosquitoes
a person being stopped from doing something,MC HAMMER <sep> Y U NO LET ME TOUCH THIS?!
a student not doing homework,sean... <sep> Y u no do homework?
a website for generating memes,RUSSIANS <sep> Y U NO GET YOUR OWN MEME-SITE?
a pregnant woman,EMMAGH <sep> Y U SO PREGNANT
a person being conceited,SUZI <sep> Y U SO CONCEITED?
a person complaining about washing machines and dryers,Ross Hall washing machines and dryers <sep> Y u so shitty?
a girl wanting to tell the truth,hips <sep> y u no lie
a big foot,Dick <sep> Y u so big??
a character complaining about the difference between anime and reality,ANIME <sep> Y U NO BE REAL LIFE?
a person playing a video game,Pokemon <sep> y u no 150 anymore?!
a person experiencing unemployment,pooooor <sep> Y U SO UNEMPLOYED
matrix character,DUSHHH! <sep> Y U NO BURN PEOPLE?!
a person complaining about someone's annoying behavior,Turbofog <sep> y u so annoying?
a person body shaming,<emp> <sep> Y U SO SKINNY DAN
a boss,abdel <sep> y u so boss
a person frustrated with internet connectivity,MACCAS FREE WIFI.. <sep> Y U NO LOAD?!
a car not working,CAR <sep> Y U NO WORK
a teenager,Y U SO <sep> Young-looking?
a person asking why someone doesn't love baking,Jesus luv u <sep> Y U NO LUV BAK?
a cruel person,LIFE !!! <sep> Y U SO CRUEL!?
a website for generating memes,y u no meme generator <sep> y u no make me less shit face
a person lying about hearing something,Momma. <sep> y u no believe me hearing sounds?!
a fast food menu item,Mc Rib <sep> y u no digest?
a character from a TV show,Snow <sep> Why u no come this season
a person feeling misunderstood,Devin y u no <sep> Understand me!
a celebrity being gay,Clay aiken <sep> Y u so fruity?
a geography test,Erdkunde <sep> Fail
a person wanting to buy a boat,Kopin <sep> Y u no beliin deck
a person being difficult,Y U be so <sep> difficult
a person not liking changes,Facebook <sep> Y u no stay same? Change no good.
a person being teased for being gay,SUNMOUNT <sep> Y U SO GAY?!
a person wanting NyQuil,Hot chick <sep> Y u no want the NyQuil?
a debate about measurement systems,americans <sep> y u no use metric system?!
a meme creator,Y u not know u can make <sep> Memes???
a group of kids playing,Milkshakes <sep> You you no bring boys to yard
a person who wants to talk to someone at school,People who add me on facebook <sep> y u no talk to me at school
a chicken not dancing,chickens <sep> y u no dance?
a person wanting to relax,bro <sep> why u no chill?
a person wanting their post retweeted,@ASOT550 <sep> y u no retweet my post ?
a person not believing the signs,Y U NO <sep> Believe the signs??
a person being late,Jordan Bradley <sep> Y U ALWAYS SO LATE
a student wanting school windows to be opened,NPHS windows <sep> y u no open
a lucky situation,Y u so lucky? <sep> ???
a person being self-deprecating,Eu sou chato <sep> Nao e brincadeira eu sou chato mesmo
a teenager wanting to be believed,parents <sep> y u no believe me!!!
a man asking for a break,Y U NO <sep> STOP FOR DQ?
